"","SG_UF","REGIAO","NM_MUNICIPIO","total_receita","total_beneficiarios","media_receita","tt_abstMulher","tt_aptMulher","percAbsT_Mulher","total_abstencao","total_aptos","perc_abstencao","abstFEMININA","abtMASCULINA"
"182","AP","Norte","CUTIAS",281726,847,332.616292798111,883,3970,0.222418136020151,2069,8508,0.243182886694875,0.426776220396327,0.573223779603673
"183","AP","Norte","FERREIRA GOMES",168170,797,211.003764115433,1896,6528,0.290441176470588,4299,13480,0.318916913946588,0.441032798325192,0.558967201674808
"184","AP","Norte","ITAUBAL",400054,1591,251.448145820239,1211,5392,0.224591988130564,2539,11288,0.224929128277817,0.476959432847578,0.523040567152422
"185","AP","Norte","LARANJAL DO JARI",1341629,6485,206.881881264456,6813,28222,0.241407412656793,15023,57524,0.261160559070996,0.453504626239766,0.546495373760234
"186","AP","Norte","MACAPA",6015809,31185,192.907134840468,50091,307124,0.16309699014079,102793,586334,0.175314752342522,0.487299718852451,0.512700281147549
"187","AP","Norte","MAZAGAO",1317522,4034,326.604362915221,2607,14632,0.178171131765992,5448,30184,0.180492976411344,0.47852422907489,0.52147577092511
"188","AP","Norte","OIAPOQUE",357917,2197,162.911697769686,6778,19236,0.352360158037014,13817,38596,0.357990465333195,0.490555113266266,0.509444886733734
"189","AP","Norte","PEDRA BRANCA DO AMAPARI",464196,1699,273.217186580341,2199,8250,0.266545454545455,5084,17754,0.286358003830123,0.432533438237608,0.567466561762392
"190","AP","Norte","PORTO GRANDE",647569,2531,255.854998024496,3002,12978,0.231314532285406,6823,27008,0.2526288507109,0.439982412428551,0.560017587571449
"191","AP","Norte","PRACUUBA",162711,569,285.959578207381,659,3066,0.214938030006523,1546,6580,0.234954407294833,0.426261319534282,0.573738680465718
"192","AP","Norte","SERRA DO NAVIO",243011,961,252.873048907388,759,3342,0.227109515260323,1693,7192,0.235400444938821,0.448316597755464,0.551683402244536
"193","AP","Norte","TARTARUGALZINHO",661780,2145,308.522144522145,2123,8650,0.245433526011561,4530,18056,0.250886132033673,0.468653421633554,0.531346578366446
"194","AP","Norte","VITORIA DO JARI",761962,2316,328.999136442142,2262,9356,0.241769987174006,5017,19456,0.257863898026316,0.450867052023121,0.549132947976879
"195","BA","Nordeste","ABAIRA",309591,1612,192.053970223325,1967,7128,0.275953984287318,3748,13818,0.27124041105804,0.524813233724653,0.475186766275347
"196","BA","Nordeste","ABARE",805441,4161,193.569093967796,2345,12808,0.183088694565896,5028,25426,0.197750334303469,0.466388225934765,0.533611774065235
"197","BA","Nordeste","ACAJUTIBA",444802,2834,156.952011291461,2987,11708,0.255124701059105,6019,22276,0.2702011133058,0.496261837514537,0.503738162485463
"198","BA","Nordeste","ADUSTINA",508436,3225,157.654573643411,2196,11552,0.190096952908587,4337,22236,0.195044072674942,0.506340788563523,0.493659211436477
"199","BA","Nordeste","AGUA FRIA",626615,2825,221.810619469027,3151,12200,0.25827868852459,6574,24018,0.27371138312932,0.479312442957104,0.520687557042896
"200","BA","Nordeste","AIQUARA",117862,709,166.236953455571,919,3734,0.246116764863417,1859,7574,0.245444943226829,0.49435180204411,0.50564819795589
"201","BA","Nordeste","ALAGOINHAS",3292991,19831,166.052695275074,18212,113148,0.160957330222364,34592,206612,0.167424931756142,0.526480111008326,0.473519888991674
"202","BA","Nordeste","ALCOBACA",558520,3269,170.853472009789,5312,16818,0.315852063265549,11313,34020,0.332539682539683,0.469548307257138,0.530451692742862
"203","BA","Nordeste","ALMADINA",258469,1339,193.031366691561,1561,5092,0.30655930871956,3324,10044,0.330943847072879,0.469614921780987,0.530385078219013
"204","BA","Nordeste","AMARGOSA",915460,5094,179.713388299961,6535,28162,0.232050280519849,12637,53008,0.238397977663749,0.517132230750969,0.482867769249031
"205","BA","Nordeste","AMELIA RODRIGUES",508194,3254,156.175169022741,3447,19206,0.179475164011246,7375,36288,0.203235229276896,0.467389830508475,0.532610169491525
"206","BA","Nordeste","AMERICA DOURADA",457074,2761,165.546541108294,3544,12834,0.276141499142902,7516,25578,0.293846274141841,0.471527408195849,0.528472591804151
